accession,replicate,stimulation_min,root_angle_pre,root_angle_post,curvature_angle,root_length_mm,measurement_tool,notes
Bd21,1,10,-0.3,12.2,12.5,28.2,RootNav2,Demo data - Reference genome
Bd21,1,20,-0.5,27.9,28.4,23.8,RootNav2,Demo data - Reference genome
Bd21,1,30,1.5,44.4,42.9,22.7,RootNav2,Demo data - Reference genome
Bd21,2,10,-0.9,11.6,12.6,22.7,RootNav2,Demo data - Reference genome
Bd21,2,20,-3.8,20.3,24.1,16.4,RootNav2,Demo data - Reference genome
Bd21,2,30,-2.0,30.2,32.2,26.6,RootNav2,Demo data - Reference genome
Bd21,3,10,-2.8,7.3,10.2,32.3,RootNav2,Demo data - Reference genome
Bd21,3,20,0.1,22.7,22.6,17.9,RootNav2,Demo data - Reference genome
Bd21,3,30,0.2,32.5,32.3,19.2,RootNav2,Demo data - Reference genome
Bd21,4,10,-1.2,11.1,12.3,23.5,RootNav2,Demo data - Reference genome
Bd21,4,20,3.7,25.0,21.3,24.9,RootNav2,Demo data - Reference genome
Bd21,4,30,1.6,31.4,29.7,18.9,RootNav2,Demo data - Reference genome
Bd21,5,10,-3.9,8.1,12.0,18.4,RootNav2,Demo data - Reference genome
Bd21,5,20,1.5,25.5,24.0,25.9,RootNav2,Demo data - Reference genome
Bd21,5,30,-0.6,33.8,34.4,17.6,RootNav2,Demo data - Reference genome
Bd21,6,10,-0.9,9.5,10.5,30.3,RootNav2,Demo data - Reference genome
Bd21,6,20,-3.5,21.0,24.5,26.6,RootNav2,Demo data - Reference genome
Bd21,6,30,-1.4,31.7,33.1,28.1,RootNav2,Demo data - Reference genome
Bd21-3,1,10,1.9,14.1,12.2,20.8,RootNav2,Demo data - Transformable standard
Bd21-3,1,20,0.7,21.1,20.4,29.9,RootNav2,Demo data - Transformable standard
Bd21-3,1,30,-0.4,29.5,29.8,19.5,RootNav2,Demo data - Transformable standard
Bd21-3,2,10,1.6,10.5,8.9,31.8,RootNav2,Demo data - Transformable standard
Bd21-3,2,20,2.0,23.1,21.1,26.8,RootNav2,Demo data - Transformable standard
Bd21-3,2,30,0.7,29.8,29.1,32.7,RootNav2,Demo data - Transformable standard
Bd21-3,3,10,3.1,13.7,10.6,11.9,RootNav2,Demo data - Transformable standard
Bd21-3,3,20,0.2,24.0,23.8,23.5,RootNav2,Demo data - Transformable standard
Bd21-3,3,30,-4.0,28.4,32.4,23.9,RootNav2,Demo data - Transformable standard
Bd21-3,4,10,3.0,14.2,11.2,22.4,RootNav2,Demo data - Transformable standard
Bd21-3,4,20,-1.0,17.9,18.9,29.6,RootNav2,Demo data - Transformable standard
Bd21-3,4,30,-1.1,32.4,33.5,27.6,RootNav2,Demo data - Transformable standard
Bd21-3,5,10,1.9,12.7,10.8,21.5,RootNav2,Demo data - Transformable standard
Bd21-3,5,20,-0.8,19.6,20.4,17.7,RootNav2,Demo data - Transformable standard
Bd21-3,5,30,0.5,33.9,33.3,25.0,RootNav2,Demo data - Transformable standard
Bd21-3,6,10,-2.8,7.5,10.3,22.9,RootNav2,Demo data - Transformable standard
Bd21-3,6,20,-1.6,18.7,20.3,24.2,RootNav2,Demo data - Transformable standard
Bd21-3,6,30,3.8,37.6,33.8,25.9,RootNav2,Demo data - Transformable standard
Gaz8,1,10,-0.1,9.7,9.8,15.4,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,1,20,0.1,18.7,18.6,37.3,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,1,30,0.6,27.4,26.8,24.8,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,2,10,2.3,9.3,7.0,28.8,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,2,20,-1.8,20.0,21.8,32.0,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,2,30,1.2,20.8,19.6,36.0,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,3,10,-1.1,6.2,7.4,25.5,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,3,20,-3.1,13.6,16.7,25.3,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,3,30,0.9,22.6,21.6,20.4,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,4,10,-1.6,10.9,12.4,23.4,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,4,20,-2.5,19.5,21.9,26.1,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,4,30,-3.2,32.6,35.8,25.9,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,5,10,1.6,11.4,9.9,18.8,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,5,20,1.0,14.4,13.4,26.5,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,5,30,0.7,30.2,29.5,21.6,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,6,10,0.6,10.4,9.8,21.4,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,6,20,0.9,27.1,26.1,19.0,RootNav2,Demo data - Turkish (Gaziemir)
Gaz8,6,30,-1.9,30.0,31.9,28.9,RootNav2,Demo data - Turkish (Gaziemir)
ABR1,1,10,-1.6,13.1,14.8,29.8,RootNav2,Demo data - Spain
ABR1,1,20,1.6,28.5,26.8,34.5,RootNav2,Demo data - Spain
ABR1,1,30,-1.5,35.1,36.7,20.6,RootNav2,Demo data - Spain
ABR1,2,10,-0.2,11.0,11.2,26.7,RootNav2,Demo data - Spain
ABR1,2,20,1.7,28.0,26.3,25.1,RootNav2,Demo data - Spain
ABR1,2,30,-0.5,45.5,46.0,38.6,RootNav2,Demo data - Spain
ABR1,3,10,-1.7,12.1,13.8,19.6,RootNav2,Demo data - Spain
ABR1,3,20,-0.4,26.7,27.1,28.6,RootNav2,Demo data - Spain
ABR1,3,30,-0.1,40.5,40.6,20.8,RootNav2,Demo data - Spain
ABR1,4,10,-0.9,9.0,9.9,29.3,RootNav2,Demo data - Spain
ABR1,4,20,-2.5,23.6,26.1,25.9,RootNav2,Demo data - Spain
ABR1,4,30,-1.8,38.4,40.1,25.8,RootNav2,Demo data - Spain
ABR1,5,10,-2.3,10.5,12.8,26.8,RootNav2,Demo data - Spain
ABR1,5,20,2.2,29.6,27.4,30.3,RootNav2,Demo data - Spain
ABR1,5,30,-1.9,28.5,30.4,27.6,RootNav2,Demo data - Spain
ABR1,6,10,1.0,14.6,13.6,44.3,RootNav2,Demo data - Spain
ABR1,6,20,2.3,29.7,27.4,29.8,RootNav2,Demo data - Spain
ABR1,6,30,-0.6,41.0,41.6,28.8,RootNav2,Demo data - Spain
ABR2,1,10,-0.5,8.5,9.0,22.6,RootNav2,Demo data - Spain
ABR2,1,20,4.6,24.8,20.2,15.7,RootNav2,Demo data - Spain
ABR2,1,30,-3.2,29.5,32.7,22.6,RootNav2,Demo data - Spain
ABR2,2,10,0.1,11.6,11.5,19.6,RootNav2,Demo data - Spain
ABR2,2,20,1.4,19.5,18.1,21.3,RootNav2,Demo data - Spain
ABR2,2,30,0.1,31.0,30.9,21.7,RootNav2,Demo data - Spain
ABR2,3,10,1.3,14.1,12.9,14.9,RootNav2,Demo data - Spain
ABR2,3,20,-1.3,19.2,20.5,29.3,RootNav2,Demo data - Spain
ABR2,3,30,-0.2,26.6,26.8,27.5,RootNav2,Demo data - Spain
ABR2,4,10,-2.4,8.8,11.2,23.3,RootNav2,Demo data - Spain
ABR2,4,20,-1.3,17.4,18.7,33.8,RootNav2,Demo data - Spain
ABR2,4,30,-2.5,29.1,31.6,29.6,RootNav2,Demo data - Spain
ABR2,5,10,2.1,14.9,12.8,17.4,RootNav2,Demo data - Spain
ABR2,5,20,2.5,21.2,18.7,21.5,RootNav2,Demo data - Spain
