Sample_Name,Organism,Ecotype,Tissue,Condition
FL1-1R,Brachypodium distachyon,Bd21,Plant Roots,Space Flight
FL1-1S,Brachypodium distachyon,Bd21,Plant Shoots,Space Flight
FL11-1R,Brachypodium distachyon,Bd21,Plant Roots,Space Flight
FL11-1S,Brachypodium distachyon,Bd21,Plant Shoots,Space Flight
FL5-1R,Brachypodium distachyon,Bd21,Plant Roots,Space Flight
FL5-1S,Brachypodium distachyon,Bd21,Plant Shoots,Space Flight
FL9-1R,Brachypodium distachyon,Bd21,Plant Roots,Space Flight
FL9-1S,Brachypodium distachyon,Bd21,Plant Shoots,Space Flight
GC1-1R,Brachypodium distachyon,Bd21,Plant Roots,Ground Control
GC1-1S,Brachypodium distachyon,Bd21,Plant Shoots,Ground Control
GC11-1R,Brachypodium distachyon,Bd21,Plant Roots,Ground Control
GC11-1S,Brachypodium distachyon,Bd21,Plant Shoots,Ground Control
GC5-1R,Brachypodium distachyon,Bd21,Plant Roots,Ground Control
GC5-1S,Brachypodium distachyon,Bd21,Plant Shoots,Ground Control
GC9-1R,Brachypodium distachyon,Bd21,Plant Roots,Ground Control
GC9-1S,Brachypodium distachyon,Bd21,Plant Shoots,Ground Control
FL10-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Space Flight
FL10-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Space Flight
FL12-1R,Brachypodium distachyon,Gaz8,Plant Roots,Space Flight
FL12-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Space Flight
FL2-1R,Brachypodium distachyon,Gaz8,Plant Roots,Space Flight
FL2-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Space Flight
FL3-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Space Flight
FL3-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Space Flight
FL4-1R,Brachypodium distachyon,Gaz8,Plant Roots,Space Flight
FL4-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Space Flight
FL6-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Space Flight
FL6-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Space Flight
FL7-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Space Flight
FL7-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Space Flight
FL8-1R,Brachypodium distachyon,Gaz8,Plant Roots,Space Flight
FL8-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Space Flight
GC10-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Ground Control
GC10-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Ground Control
GC12-1R,Brachypodium distachyon,Gaz8,Plant Roots,Ground Control
GC12-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Ground Control
GC2-1R,Brachypodium distachyon,Gaz8,Plant Roots,Ground Control
GC2-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Ground Control
GC3-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Ground Control
GC3-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Ground Control
GC4-1R,Brachypodium distachyon,Gaz8,Plant Roots,Ground Control
GC4-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Ground Control
GC6-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Ground Control
GC6-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Ground Control
GC7-1R,Brachypodium distachyon,Bd21-3,Plant Roots,Ground Control
GC7-1S,Brachypodium distachyon,Bd21-3,Plant Shoots,Ground Control
GC8-1R,Brachypodium distachyon,Gaz8,Plant Roots,Ground Control
GC8-1S,Brachypodium distachyon,Gaz8,Plant Shoots,Ground Control
