accession,mean_curvature_30min,overall_mean_curvature,overall_sd,n_total,in_osd375
Koz1,41.916666666666664,26.594444444444445,12.615838421800088,18,False
ABR1,39.233333333333334,26.255555555555556,11.56669774533882,18,False
BdTR3C,37.03333333333333,24.961111111111112,10.927092013398672,18,False
Bd2-3,36.166666666666664,24.216666666666665,10.471600248515308,18,False
Bd21,34.1,23.311111111111114,9.860550568621402,18,True
Tek2,34.01666666666667,23.005555555555556,10.676718609265578,18,False
Bd1-1,31.23333333333333,21.76111111111111,8.797669403205859,18,False
Mon3,33.63333333333333,21.427777777777777,10.167005780265285,18,False
Bd21-3,31.983333333333338,21.155555555555555,9.087821341335125,18,True
ABR2,29.683333333333337,20.05,8.048766803605602,18,False
Gaz8,27.533333333333335,18.88888888888889,8.75925654170482,18,True
Adi2,27.116666666666664,17.883333333333333,8.704579592510653,18,False
Bd3-1,27.78333333333333,17.788888888888888,9.219983979116417,18,False
ABR6,25.75,17.405555555555555,8.224244805110017,18,False
Koz3,23.616666666666664,17.072222222222223,7.989169547916697,18,False
