brachypodium_gene_id,arabidopsis_ortholog,gene_symbol,pathway,evidence,phenotype_associated,analysis_type,note
BRADI_1g28880v3,AT1G73590,BdPIN1a,Auxin Efflux Carrier,Direct ortholog of AtPIN1; directional auxin transport in root meristem,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g59720v3,AT1G73590,BdPIN1b,Auxin Efflux Carrier,Paralog of BdPIN1a involved in shoot-to-root polar auxin flux,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g44770v3,AT5G57090,BdPIN2,Auxin Efflux Carrier,Ortholog of AtPIN2 (EIR1/AGR1); asymmetric auxin redistribution in root cortex/epidermis,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g35920v3,AT1G70940,BdPIN3,Auxin Efflux Carrier,Ortholog of AtPIN3; lateral relocalization in columella statocytes upon gravistimulation,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g08930v3,AT2G01420,BdPIN4,Auxin Efflux Carrier,Ortholog of AtPIN4; root tip auxin maximum maintenance,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g17610v3,AT1G23080,BdPIN7,Auxin Efflux Carrier,Ortholog of AtPIN7; columella auxin redirection,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_3g35890v3,AT2G38120,BdAUX1,Auxin Influx Carrier,Ortholog of AtAUX1; essential for root gravitropic curvature and cellular auxin uptake,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_2g55170v3,AT5G01240,BdLAX1,Auxin Influx Carrier,Ortholog of AtLAX1; auxiliary auxin influx in vascular tissues,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_4g12810v3,AT2G21050,BdLAX2,Auxin Influx Carrier,Ortholog of AtLAX2; root apical meristem patterning,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
BRADI_1g08940v3,AT1G77690,BdLAX3,Auxin Influx Carrier,Ortholog of AtLAX3; lateral root emergence and organ bending,gravitropic_reorientation,candidate_gene,Candidate gene approach using known gravitropism orthologs. Full GWAS requires genotype matrix from diversity panel.
