gene_id,symbol,chromosome,pathway,gwas_qtl_trait,root_log2fc,shoot_log2fc,padj,de_in_bd21,de_in_bd21_3,de_in_gaz8,is_root_deg,is_shoot_deg,is_spaceflight_deg
BRADI_1g28880v3,BdPIN1a,Chr1,Auxin Efflux Carrier,Presentation Time (Fast),1.42,0.35,0.0012,True,False,True,True,False,True
BRADI_1g59720v3,BdPIN1b,Chr1,Auxin Efflux Carrier,Shoot Polar Transport,0.65,1.15,0.0045,True,True,False,True,True,True
BRADI_3g44770v3,BdPIN2,Chr3,Auxin Efflux Carrier,Gravitropic Curvature (Primary),-1.85,-0.12,0.0001,True,False,True,True,False,True
BRADI_4g35920v3,BdPIN3,Chr4,Auxin Efflux Carrier,Statocyte Relocalization,1.95,0.88,5e-05,True,True,True,True,True,True
BRADI_2g08930v3,BdPIN4,Chr2,Auxin Efflux Carrier,Root Auxin Maximum,0.72,0.15,0.021,True,False,False,True,False,True
BRADI_1g17610v3,BdPIN7,Chr1,Auxin Efflux Carrier,Columella Auxin Redirection,0.55,0.08,0.043,False,False,True,True,False,True
BRADI_3g35890v3,BdAUX1,Chr3,Auxin Influx Carrier,Curvature Initiation Angle,1.34,0.45,0.0018,True,False,True,True,False,True
BRADI_2g55170v3,BdLAX1,Chr2,Auxin Influx Carrier,Vascular Auxin Flow,0.42,0.9,0.035,False,True,False,False,True,True
BRADI_4g12810v3,BdLAX2,Chr4,Auxin Influx Carrier,Root Meristem Patterning,0.28,0.12,0.12,False,False,False,False,False,False
BRADI_1g08940v3,BdLAX3,Chr1,Auxin Influx Carrier,Lateral Organ Bending,0.98,0.31,0.008,True,False,True,True,False,True
BRADI_5g19830v3,BdLAZY1,Chr5,Gravity Perception/Transduction,Gravitropic Setpoint Angle (GSA),2.15,1.78,1e-05,True,True,True,True,True,True
BRADI_3g14220v3,BdDRO1,Chr3,Root Gravitropic Setpoint,Deep Root Angle (Drought/Gravity),1.68,0.22,0.0003,True,False,True,True,False,True
BRADI_2g22150v3,BdSGR9,Chr2,Amyloplast Sedimentation,Amyloplast Mobility,-0.85,-1.25,0.0065,True,True,False,True,True,True
BRADI_4g05670v3,BdSGR2,Chr4,Amyloplast Sedimentation,Vacuolar Membrane Tethering,-0.52,-0.89,0.015,False,False,True,True,True,True
BRADI_4g11220v3,BdTIR1,Chr4,Auxin Receptor,Auxin Sensitivity Threshold,0.74,0.4,0.019,True,False,False,True,False,True
BRADI_1g64200v3,BdAFB2,Chr1,Auxin Receptor,Fast Elongation Inhibition,0.88,0.32,0.011,True,True,False,True,False,True
BRADI_2g49180v3,BdARF7,Chr2,Auxin Response Factor,Asymmetric Growth Transcript Activator,1.22,0.95,0.0025,True,False,True,True,True,True
BRADI_3g58400v3,BdARF19,Chr3,Auxin Response Factor,Root Curvature Transduction,1.05,0.7,0.006,True,True,False,True,True,True
BRADI_1g30140v3,BdIAA14,Chr1,Aux/IAA Repressor,Gravitropic Bending Repression,-1.45,-0.65,0.0008,True,False,True,True,True,True
BRADI_1g09410v3,BdPGM1,Chr1,Statolith Starch Biosynthesis,Amyloplast Starch Volume,-1.1,-0.45,0.004,True,True,False,True,False,True
BRADI_2g16530v3,BdADG1,Chr2,Statolith Starch Biosynthesis,Gravity Sensing Efficiency,-0.92,-0.38,0.0095,False,True,False,True,False,True
BRADI_1g71830v3,BdCPK28,Chr1,Calcium Signaling Kinase,Root Mechanoperception Hub,2.38,0.85,2e-05,True,True,True,True,True,True
BRADI_4g30480v3,BdCAS,Chr4,Calcium Sensing Receptor,Organellar Calcium Homeostasis,1.75,1.4,0.0002,True,False,True,True,True,True
BRADI_3g08190v3,BdCRK28,Chr3,Receptor-like Kinase,ROS/Gravity Signaling Interface,1.62,1.05,0.0005,True,True,True,True,True,True
BRADI_5g21400v3,BdCML24,Chr5,Calmodulin-Like Protein,Touch & Gravistimulation Calcium Sensor,1.88,1.3,0.0001,True,False,True,True,True,True
BRADI_2g39110v3,BdMSL10,Chr2,Mechanosensitive Ion Channel,Stretch-Activated Plasma Membrane Channel,1.45,0.5,0.0015,True,False,True,True,True,True
BRADI_1g11420v3,BdEXPA1,Chr1,Cell Wall Loosening (Expansin),Convex Flank Cell Wall Extension,2.5,1.95,1e-05,True,True,True,True,True,True
BRADI_4g41200v3,BdXTH1,Chr4,Xyloglucan Transglucosylase,Hemicellulose Cleavage & Ligation,1.55,1.1,0.0008,True,False,True,True,True,True
BRADI_3g17860v3,BdCSLD1,Chr3,Cellulose/Glucan Synthase,Mixed-Linkage Glucan Deposition,1.3,0.75,0.003,True,True,False,True,True,True
BRADI_2g14500v3,BdSHMT2,Chr2,Photorespiration / C2 Cycle,Gas Stagnation / Photorespiratory Flux,-0.15,2.1,1e-05,True,True,True,False,True,True
BRADI_5g08220v3,BdRBCL,Chr5,Carbon Fixation,Photosynthetic Carbon Fixation,-0.05,-1.75,0.0002,True,False,True,False,True,True
